Anio,Entidad,Producto,Nomunidad,Volumenproduccion
2021,Chiapas,Trigo,Tonelada,10911.77
2021,Chihuahua,Frijol,Tonelada,42599633.99
2021,Chihuahua,Leche,Miles de lts,632168332.9
2021,Chihuahua,Maíz,Tonelada,1194988224
2021,Chihuahua,Trigo,Tonelada,29615986.58
2021,Ciudad de México,Frijol,Tonelada,9038.04
2021,Ciudad de México,Leche,Miles de lts,1867389.98
2021,Ciudad de México,Maíz,Tonelada,1605763.66
2021,Coahuila de Zaragoza,Frijol,Tonelada,95665.31
2021,Coahuila de Zaragoza,Leche,Miles de lts,370767876.9
2021,Coahuila de Zaragoza,Maíz,Tonelada,269614537.7
2021,Coahuila de Zaragoza,Trigo,Tonelada,3066046
2021,Colima,Arroz,Tonelada,7217890.4
2021,Colima,Frijol,Tonelada,1213.8
2021,Colima,Leche,Miles de lts,15923350.5
2021,Colima,Maíz,Tonelada,23707296.47
2021,Durango,Frijol,Tonelada,25232793.35
2021,Durango,Leche,Miles de lts,654980031.5
2021,Durango,Maíz,Tonelada,1268726970
2021,Durango,Trigo,Tonelada,896146.05
2021,Guanajuato,Frijol,Tonelada,19605459.96
2021,Guanajuato,Leche,Miles de lts,286630607.5
2021,Guanajuato,Maíz,Tonelada,826097067.9
2021,Guanajuato,Trigo,Tonelada,117361607.4
2021,Guerrero,Arroz,Tonelada,69130.66
2021,Guerrero,Frijol,Tonelada,2389342.03
2021,Guerrero,Leche,Miles de lts,17114887
2021,Guerrero,Maíz,Tonelada,253677611.5
2021,Hidalgo,Frijol,Tonelada,986522.52
2021,Hidalgo,Leche,Miles de lts,23475096.61
2021,Hidalgo,Maíz,Tonelada,49024217.43
2021,Hidalgo,Trigo,Tonelada,95561.44
2021,Jalisco,Arroz,Tonelada,3444631.01
2021,Jalisco,Frijol,Tonelada,1803336.7
2021,Jalisco,Leche,Miles de lts,608052277.6
2021,Jalisco,Maíz,Tonelada,2375641897
2021,Jalisco,Trigo,Tonelada,21258184.9
2021,Michoacán de Ocampo,Arroz,Tonelada,2597121.06
2021,Michoacán de Ocampo,Frijol,Tonelada,757183.5
2021,Michoacán de Ocampo,Leche,Miles de lts,36329210.1
2021,Michoacán de Ocampo,Maíz,Tonelada,191451694.9
2021,Michoacán de Ocampo,Trigo,Tonelada,10308642.16
2021,Morelos,Arroz,Tonelada,560206.94
2021,Morelos,Frijol,Tonelada,88058.17
2021,Morelos,Leche,Miles de lts,1329857.288
2021,Morelos,Maíz,Tonelada,10664806.15
2021,Morelos,Trigo,Tonelada,12808.8
2021,México,Arroz,Tonelada,13729.76
2021,México,Frijol,Tonelada,228962.59
2021,México,Leche,Miles de lts,20279711.22
2021,México,Maíz,Tonelada,202864885.1
2021,México,Trigo,Tonelada,604077.97
2021,Nayarit,Arroz,Tonelada,12058540.2
2021,Nayarit,Frijol,Tonelada,17018715.14
2021,Nayarit,Leche,Miles de lts,9888248.007
2021,Nayarit,Maíz,Tonelada,141613708
2021,Nuevo León,Frijol,Tonelada,397756.5
2021,Nuevo León,Leche,Miles de lts,7338547.557
2021,Nuevo León,Maíz,Tonelada,20850167.4
2021,Nuevo León,Trigo,Tonelada,1687271.5
2021,Oaxaca,Frijol,Tonelada,1021153.79
2021,Oaxaca,Leche,Miles de lts,11715091.8
2021,Oaxaca,Maíz,Tonelada,42726369.25
2021,Oaxaca,Trigo,Tonelada,251346.56
2021,Puebla,Frijol,Tonelada,2238424.49
2021,Puebla,Leche,Miles de lts,24905955.67
2021,Puebla,Maíz,Tonelada,86394264.84
2021,Puebla,Trigo,Tonelada,440779.6
2021,Querétaro,Frijol,Tonelada,846831.28
2021,Querétaro,Leche,Miles de lts,84031049.25
2021,Querétaro,Maíz,Tonelada,199017997.1
2021,Querétaro,Trigo,Tonelada,483306.34
2021,Quintana Roo,Frijol,Tonelada,1239365.48
2021,Quintana Roo,Leche,Miles de lts,6066166.908
2021,Quintana Roo,Maíz,Tonelada,29754996.72
2021,San Luis Potosí,Frijol,Tonelada,7857736.06
2021,San Luis Potosí,Leche,Miles de lts,37743423.83
2021,San Luis Potosí,Maíz,Tonelada,91389760.72
2021,Sinaloa,Frijol,Tonelada,92264670.82
2021,Sinaloa,Leche,Miles de lts,74586635.57
2021,Sinaloa,Maíz,Tonelada,3950027820
2021,Sinaloa,Trigo,Tonelada,145445370.4
2021,Sonora,Frijol,Tonelada,19144798.94
2021,Sonora,Leche,Miles de lts,91604263.84
2021,Sonora,Maíz,Tonelada,745238386.9
2021,Sonora,Trigo,Tonelada,1167193244
2021,Tabasco,Arroz,Tonelada,783694.95
2021,Tabasco,Frijol,Tonelada,373143.15
2021,Tabasco,Leche,Miles de lts,26167686.91
2021,Tabasco,Maíz,Tonelada,44827783.77
2021,Tamaulipas,Arroz,Tonelada,6414414.93
2021,Tamaulipas,Frijol,Tonelada,566183.26
2021,Tamaulipas,Leche,Miles de lts,9812199.357
2021,Tamaulipas,Maíz,Tonelada,192143070.4
2021,Tamaulipas,Trigo,Tonelada,2301594.54
2021,Tlaxcala,Frijol,Tonelada,154703.47
2021,Tlaxcala,Leche,Miles de lts,6625659.078
2021,Tlaxcala,Maíz,Tonelada,46064799.4
2021,Tlaxcala,Trigo,Tonelada,4748784.99
